文献,反应位置,底物,产物,中间体,催化剂,配体,溶剂,其它组分,条件（温度、时间、气氛、光源、波长等）,产率,dr,ee,er,直接从文献中抓取的提取错误,实验过程与操作顺序错误,文献中没有明确给出信息，需要模型进行推断，推断产生的错误
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureA-Entry1; PDF pages: 11,"1H-indole-3-carbaldehyde (1.09 g, 7.5 mmol, 2.5 equiv.); 4-pentenoic acid (306 μL, 3 mmol, 1 equiv.)",1-(Pent-4-enoyl)-1H-indole-3-carbaldehyde (511 mg),,"DMAP (18.3 mg, 0.15 mmol, 0.05 equiv.)",,dry MeCN (7.5 mL),"2,6-lutidine (35 μL, 0.3 mmol, 0.1 equiv.); Boc2O (1.7 mL, 7.5 mmol, 2.5 equiv.)",temp: 30 °C; time: overnight; atm: Ar,75%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry1; PDF pages: 11,"step1: 4-pentenoic acid (765 μL, 7.5 mmol, 2.5 equiv.); step2: 5-bromo-1H-indole-3-carbaldehyde (672 mg, 3 mmol, 1 equiv.)",step2: 5-Bromo-1-(pent-4-enoyl)-1H-indole-3-carbaldehyde (578 mg),step1: acyl chloride (from carboxylic acid),"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: dry CH2Cl2 (24 mL),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: Et3N (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,63%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureA-Entry2; PDF pages: 11,"5-fluoro-1H-indole-3-carbaldehyde (1.22 g, 7.5 mmol, 2.5 equiv.); 4-pentenoic acid (306 μL, 3 mmol, 1 equiv.)",5-Fluoro-1-(pent-4-enoyl)-1H-indole-3-carbaldehyde (489 mg),,"DMAP (18.3 mg, 0.15 mmol, 0.05 equiv.)",,dry MeCN (7.5 mL),"2,6-lutidine (35 μL, 0.3 mmol, 0.1 equiv.); Boc2O (1.7 mL, 7.5 mmol, 2.5 equiv.)",temp: 30 °C; time: overnight; atm: Ar,61%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureA-Entry3; PDF pages: 12,"5-cyano-1H-indole-3-carbaldehyde (1.27 g, 7.5 mmol, 2.5 equiv.); 4-pentenoic acid (306 μL, 3 mmol, 1 equiv.)",3-Formyl-1-(pent-4-enoyl)-1H-indole-5-carbonitrile (295 mg),,"DMAP (18.3 mg, 0.15 mmol, 0.05 equiv.)",,dry MeCN (7.5 mL),"2,6-lutidine (35 μL, 0.3 mmol, 0.1 equiv.); Boc2O (1.7 mL, 7.5 mmol, 2.5 equiv.)",temp: 30 °C; time: overnight; atm: Ar,39%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry2; PDF pages: 12,"step1: 4-pentenoic acid (765 μL, 7.5 mmol, 2.5 equiv.); step2: 3-formyl-1H-indol-5-yl 4-methylbenzenesulfonate (946 mg, 3 mmol, 1 equiv.)",step2: 3-Formyl-1-(pent-4-enoyl)-1H-indol-5-yl 4-methylbenzenesulfonate (918 mg),step1: acyl chloride (from carboxylic acid),"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: dry CH2Cl2 (24 mL),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: Et3N (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,77%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry3; PDF pages: 12,"step1: 4-pentenoic acid (765 μL, 7.5 mmol, 2.5 equiv.); step2: 5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-indole-3-carbaldehyde (813 mg, 3 mmol, 1 equiv.)","step2: 1-(Pent-4-enoyl)-5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-indole-3-carbaldehyde (397 mg)",step1: acyl chloride (from carboxylic acid),"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: dry CH2Cl2 (24 mL),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: Et3N (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,37%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry4; PDF pages: 13,"step1: 4-pentenoic acid (765 μL, 7.5 mmol, 2.5 equiv.); step2: 5-(trifluoromethyl)-1H-indole-3-carbaldehyde (639 mg, 3 mmol, 1 equiv.)",step2: 1-(Pent-4-enoyl)-6-(trifluoromethyl)-1H-indole-3-carbaldehyde (522 mg),step1: acyl chloride (from carboxylic acid),"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: dry CH2Cl2 (24 mL),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: Et3N (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,59%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureA-Entry4; PDF pages: 13,"6-methyl-1H-indole-3-carbaldehyde (1.19 g, 7.5 mmol, 2.5 equiv.); 4-pentenoic acid (306 μL, 3 mmol, 1 equiv.)",6-Methyl-1-(pent-4-enoyl)-1H-indole-3-carbaldehyde (391 mg),,"DMAP (18.3 mg, 0.15 mmol, 0.05 equiv.)",,dry MeCN (7.5 mL),"2,6-lutidine (35 μL, 0.3 mmol, 0.1 equiv.); Boc2O (1.7 mL, 7.5 mmol, 2.5 equiv.)",temp: 30 °C; time: overnight; atm: Ar,54%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry5; PDF pages: 13,"step1: 4-pentenoic acid (765 μL, 7.5 mmol, 2.5 equiv.); step2: 6-bromo-1H-indole-3-carbaldehyde (672 mg, 3 mmol, 1 equiv.)",step2: 6-Bromo-1-(pent-4-enoyl)-1H-indole-3-carbaldehyde (587 mg),step1: acyl chloride (from carboxylic acid),"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: dry CH2Cl2 (24 mL),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: Et3N (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,64%,,,,,,
triplet state reactivity of iminium ions in organocatalytic asymmetric [2 + 2] photocycloadditions,GeneralProcedureB-Entry6; PDF pages: 14,"step1: 4-pentenoic acid (765 μL, 7.5 mmol, 2.5 equiv.); step2: methyl 3-formyl-1H-indole-5-carboxylate (609 mg, 3 mmol, 1 equiv.)",step2: Methyl 3-formyl-1-(pent-4-enoyl)-1H-indole-6-carboxylate (256 mg),step1: acyl chloride (from carboxylic acid),"step2: DMAP (9.2 mg, 0.075 mmol, 0.025 equiv.)",,step2: dry CH2Cl2 (3 mL/mmol of 1H-indole-3-carbaldehyde (acyl chloride solution: 2 mL/mmol of carboxylic acid)),"step1: SOCl2 (711 μL, 9.75 mmol, 3.25 equiv.); step2: Et3N (1.8 mL, 13.2 mmol, 4.4 equiv.)",step1: temp: 50 °C; time: 2 h; atm: Ar; step2: temp: 0 °C; time: 3 h; atm: Ar,33%,,,,,,
